📥  LANETKEL — SPONSOR & DIŞ GELİR TABLOSU,,,,,,,,,,,,,,,,,
"Toplam 68 anlaşma  ·  $371,199 toplam gelir  ·  Firma bazlı + Ay bazlı + Tarih detayı",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
📊  AY BAZLI GELİR ÖZETİ,,,,,,,,,,,,,,,,,
#,Dönem,,,Oca,Şub,Mar,Nis,May,Haz,Tem,Ağu,Eyl,Eki,Kas,Ara,"YILLIK
TOPLAM",Anlaşma Sayısı
26,21.07.2025,Maksibet,Website,,❌ Sona Erdi,,,,,,,,,,,,
27,21.07.2025,Rbet,Website,,❌ Sona Erdi,,,,,,,,,,,,
28,28.07.2025,MistyCasino,Website,3.000 $,❌ Sona Erdi,8627a35e5fb7e82235f487fdc9e82118ea9c75c19d8c9d444ec46766f6fab13b,,,,,,,,,,,
29,02.08.2025,Casibom,Website,3.500 $,❌ Sona Erdi,ed7205556777479dfd7bae54ed840d29839c33efe1f6ab6d8de157c86e972e4a,,,,,,,,,,,
30,08.08.2025,TRbet,Website+SosyalMedya+Telegram,4.000 $,❌ Sona Erdi,4866444c77b8ff4e293a463f637c2085169f7a56f85cab8c3e77e7d04e4a7916,,,,,,,,,,,
31,14.08.2025,Pusulabet,Website,3.200 $,❌ Sona Erdi,1de76fc0c6cb6cc2a0678188fb681fb2e37a2f3a6400fce1113996ee3fb54022,,,,,,,,,,,
32,28.08.2025,Madridbet,Website,6.000 $,❌ Sona Erdi,164884b0ccdd8aac490e1d8c3b66f09567e63dd0ae1b5959365e7471b76d14a0,,,,,,,,,,,
33,28.08.2025,King Royal,Website,,❌ Sona Erdi,,,,,,,,,,,,
34,28.08.2025,PasaCasino,Website VIP,10.000 $,❌ Sona Erdi,de154cd3f9174408df85474d007d0a7eb77d11f1fe2b740dd29adbe0545e240c,,,,,,,,,,,
35,28.08.2025,Oslobet,Website,,❌ Sona Erdi,,,,,,,,,,,,
36,28.08.2025,Maksibet,Website,,❌ Sona Erdi,7481a56ce3d7998e2bedac417ce3c0d095e374cc193afced155581a62405929b,,,,,,,,,,,
37,28.08.2025,Rbet,Website,,❌ Sona Erdi,,,,,,,,,,,,
38,29.08.2025,Betci,Website,7.000 $,❌ Sona Erdi,a7ec9308a9a06440fd2855d5ca5d79f1f129e1f232ec8c115690bc71a0d216bd,,,,,,,,,,,
